"Listen!" An old man with a piercing gaze locks eyes with you, and you feel strange information squirming around in your head. Pass a Will (-1) check to gain 1 Spell. 	Will -1 	Kingsport Horror
"Quickly, come here, I have news." A voice whispers to you from a nearly closed window. Pass a Will (-1) check to gain Clue tokens equal to the number of successes you rolled. 	Will -1 	Kingsport Horror
A woman walking down Water St. notices your interest in the house and warns you to stay away from it. She tells you what stories she's heard as you walk along with her. Move to the streets and gain 1 Clue token. 		Miskatonic Horror: Kingsport Horror component
A young student is walking away after receiving no response to her knocking. Make a Speed (-1) check to stop her before she disappears. If you pass, you introduce yourself to Sarah Danforth, an archaeology student from Miskatonic. She's been investigating gold coins that came from this house. Take her Ally card. If it is not available, gain 1 Clue token instead as she chats about the museum exhibit in Arkham. 	Speed -1 	Miskatonic Horror: Kingsport Horror componentMiskatonic Horror: Curse of the Dark Pharaoh component
An old man with piercing eyes opens the door before you can knock. Meeting your gaze calmly, he says, "It's clear that you need my help, but do you deserve it?" If you spend 1 Stamina and 1 Sanity, the Terrible Old Man joins you. Take his Ally card, or gain 2 Spells if it's not available. 		Kingsport Horror
An old man with piercing eyes opens the door before you can knock. Meeting your gaze calmly, he says, "It's clear that you need my help, but do you deserve it?" If you spend 1 Stamina and 1 Sanity, the Terrible Old Man joins you. Take his Ally card, or gain 2 Spells if it's not available. 		Kingsport Horror
An old man with piercing eyes opens the door before you can knock. Meeting your gaze calmly, he says, "It's clear that you need my help, but do you deserve it?" If you spend 1 Stamina and 1 Sanity, the Terrible Old Man joins you. Take his Ally card, or gain 2 Spells if it's not available. 		Miskatonic Horror: Kingsport Horror component
An old man with piercing eyes opens the door before you can knock. Meeting your gaze calmly, he says, "It's clear that you need my help, but do you deserve it?" If you spend 1 Stamina and 1 Sanity, the Terrible Old Man joins you. Take his Ally card, or gain 2 Spells if it's not available. 		Miskatonic Horror: Kingsport Horror component
As you approach the door to knock, a thin book is pushed out from under it. Obviously, someone wants you to have it. Take the first Tome from the Common Item deck. 		Kingsport Horror
As you approach the house through the thick mist from the ocean, you discover a landscape unlike anything you expected. Move to the first area of R'lyeh, have an encounter there, and then return here immediately. 		Miskatonic Horror: Kingsport Horror componentMiskatonic Horror: Lurker at the Threshold component
As you knock, the door swings open before you. Cautiously entering, you see a number of bottles containing lead pendulums. Gradually, but with increasing violence, the pendulums begin to swing, and voices whisper terrible secrets into your ears. Gain 2 Clue tokens, but you are reduced to 1 Sanity. 		Kingsport Horror
As you walk past a decrepit old house, an ancient, but still vigorous man throws open the door and walks purposefully up to you. "Take this. Wear it." He roughly presses a small fetish bag into your hands. Take this card. Instead of losing 1 Stamina, you may put a Clue token on this card. Return this card to the box if it ever has 3 Clue tokens on it. 		Kingsport Horror
